screener_rank,ticker,screener_score,universe_source,updated_at,source_count,is_etf,is_adr,index_membership,country,company_name,fundamental_matched,scenario_downside,robustness_status
1,ENEL.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,2,False,False,static_ftse_mib,Italy,,,,WARN
2,ENI.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,2,False,False,static_ftse_mib,Italy,,,,WARN
3,ISP.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,2,False,False,static_ftse_mib,Italy,,,,WARN
4,A2A.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib,Italy,,,,WARN
5,AAPL,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample,,,,,WARN
6,ABBV,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample,,,,,WARN
7,AI.PA,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50,France,,,,WARN
8,AIR.PA,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50,France,,,,WARN
9,ALV.DE,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50,Germany,,,,WARN
10,AMP.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib,Italy,,,,WARN
11,AMZN,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample,,,,,WARN
12,ASML.AS,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50,Netherlands,,,,WARN
13,ATL.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib,Italy,,,,WARN
14,AVGO,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample,,,,,WARN
15,AZM.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib,Italy,,,,WARN
16,BAMI.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib,Italy,,,,WARN
17,BMED.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib,Italy,,,,WARN
18,BMPS.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib,Italy,,,,WARN
19,BNP.PA,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50,France,,,,WARN
20,BPE.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib,Italy,,,,WARN
21,BRK-B,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample,,,,,WARN
22,COST,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample,,,,,WARN
