ticker,company_name,sector,industry,country,market_cap_bucket,market_cap,price,ret_21d,ret_63d,ret_126d,ret_252d,volatility,valuation_score,quality_score,momentum_score,risk_score,blended_score,upside_to_fair_value,sws_snowflake_score,scenario_downside,size_metric,color_metric_default,drilldown_label,source,updated_at,quality_flag
ENEL.MI,,,,Italy,,,,,,,,,,,,,,,,,1.0,,ENEL.MI | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
ENI.MI,,,,Italy,,,,,,,,,,,,,,,,,1.0,,ENI.MI | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
ISP.MI,,,,Italy,,,,,,,,,,,,,,,,,1.0,,ISP.MI | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
A2A.MI,,,,Italy,,,,,,,,,,,,,,,,,1.0,,A2A.MI | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
AAPL,,,,,,,,,,,,,,,,,,,,,1.0,,AAPL | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
ABBV,,,,,,,,,,,,,,,,,,,,,1.0,,ABBV | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
AI.PA,,,,France,,,,,,,,,,,,,,,,,1.0,,AI.PA | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
AIR.PA,,,,France,,,,,,,,,,,,,,,,,1.0,,AIR.PA | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
ALV.DE,,,,Germany,,,,,,,,,,,,,,,,,1.0,,ALV.DE | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
AMP.MI,,,,Italy,,,,,,,,,,,,,,,,,1.0,,AMP.MI | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
AMZN,,,,,,,,,,,,,,,,,,,,,1.0,,AMZN | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
ASML.AS,,,,Netherlands,,,,,,,,,,,,,,,,,1.0,,ASML.AS | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
ATL.MI,,,,Italy,,,,,,,,,,,,,,,,,1.0,,ATL.MI | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
AVGO,,,,,,,,,,,,,,,,,,,,,1.0,,AVGO | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
AZM.MI,,,,Italy,,,,,,,,,,,,,,,,,1.0,,AZM.MI | nan,latestcrosssection/screener_base_frame,2026-05-22T14:27:45+00:00,PASS
