ticker,company_name,sector,industry,country,exchange,index_membership,market_cap,market_cap_bucket,price,liquidity,source,updated_at,quality_flag
ENEL.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
ENI.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
ISP.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
A2A.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
AAPL,,,,,,static_sp500_core_sample,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
ABBV,,,,,,static_sp500_core_sample,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
AI.PA,,,,France,,static_euro_stoxx_50,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
AIR.PA,,,,France,,static_euro_stoxx_50,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
ALV.DE,,,,Germany,,static_euro_stoxx_50,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
AMP.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
AMZN,,,,,,static_sp500_core_sample,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
ASML.AS,,,,Netherlands,,static_euro_stoxx_50,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
ATL.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
AVGO,,,,,,static_sp500_core_sample,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
AZM.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
BAMI.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
BMED.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
BMPS.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
BNP.PA,,,,France,,static_euro_stoxx_50,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
BPE.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
BRK-B,,,,,,static_sp500_core_sample,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
COST,,,,,,static_sp500_core_sample,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
CPR.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
CRM,,,,,,static_sp500_core_sample,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
DG.PA,,,,France,,static_euro_stoxx_50,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
DIA.MI,,,,Italy,,static_ftse_mib,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
DTE.DE,,,,Germany,,static_euro_stoxx_50,,,,,latestcrosssection+universe_master,2026-05-22T14:27:45+00:00,PASS
