ticker,source,index_membership,country,sector,updated_at,quality_flag
ENEL.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
ENI.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
ISP.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
A2A.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
AAPL,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
ABBV,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
AI.PA,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
AIR.PA,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
ALV.DE,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
AMP.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
AMZN,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
ASML.AS,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
ATL.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
AVGO,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
AZM.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
BAMI.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
BMED.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
BMPS.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
BNP.PA,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
BPE.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
BRK-B,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
COST,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
CPR.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
CRM,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
DG.PA,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
DIA.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
DTE.DE,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
EL.PA,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
ERG.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
FBK.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
G.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
GOOGL,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
HD,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
HER.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
IBE.MC,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
IG.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
INW.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
ITX.MC,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
IVG.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
JPM,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
LDO.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
LLY,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
MA,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
MB.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
MC.PA,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
META,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
MONC.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
MRK,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
MSFT,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
NEXI.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
NVDA,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
OR.PA,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
PG,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
PIRC.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
PRY.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
PST.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
RACE.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
REC.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
SAN.PA,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
SAP.DE,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
SIE.DE,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
SRG.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
STLAM.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
STM.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
SU.PA,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
TEN.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
TIT.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
TRN.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
TTE.PA,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
UCG.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
UNH,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
UNI.MI,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
V,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
XOM,securities_master,,,,2026-05-22T14:27:45+00:00,PASS
