screener_rank,ticker,company_name,country,fundamental_matched,robustness_status,scenario_downside,screener_score,universe_source,updated_at,source_count,is_etf,is_adr,index_membership,watchlist,source,quality_flag
1,ENEL.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-22T14:27:45+00:00,2,False,False,static_ftse_mib,candidate_from_screener,screener_results,PASS
2,ENI.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-22T14:27:45+00:00,2,False,False,static_ftse_mib,candidate_from_screener,screener_results,PASS
3,ISP.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-22T14:27:45+00:00,2,False,False,static_ftse_mib,candidate_from_screener,screener_results,PASS
4,A2A.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-22T14:27:45+00:00,1,False,False,static_ftse_mib,candidate_from_screener,screener_results,PASS
5,AAPL,,,,WARN,,0.0,static_sp500_core_sample,2026-05-22T14:27:45+00:00,1,False,False,static_sp500_core_sample,candidate_from_screener,screener_results,PASS
6,ABBV,,,,WARN,,0.0,static_sp500_core_sample,2026-05-22T14:27:45+00:00,1,False,False,static_sp500_core_sample,candidate_from_screener,screener_results,PASS
7,AI.PA,,France,,WARN,,0.0,static_euro_stoxx_50,2026-05-22T14:27:45+00:00,1,False,False,static_euro_stoxx_50,candidate_from_screener,screener_results,PASS
8,AIR.PA,,France,,WARN,,0.0,static_euro_stoxx_50,2026-05-22T14:27:45+00:00,1,False,False,static_euro_stoxx_50,candidate_from_screener,screener_results,PASS
9,ALV.DE,,Germany,,WARN,,0.0,static_euro_stoxx_50,2026-05-22T14:27:45+00:00,1,False,False,static_euro_stoxx_50,candidate_from_screener,screener_results,PASS
10,AMP.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-22T14:27:45+00:00,1,False,False,static_ftse_mib,candidate_from_screener,screener_results,PASS
11,AMZN,,,,WARN,,0.0,static_sp500_core_sample,2026-05-22T14:27:45+00:00,1,False,False,static_sp500_core_sample,candidate_from_screener,screener_results,PASS
12,ASML.AS,,Netherlands,,WARN,,0.0,static_euro_stoxx_50,2026-05-22T14:27:45+00:00,1,False,False,static_euro_stoxx_50,candidate_from_screener,screener_results,PASS
13,ATL.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-22T14:27:45+00:00,1,False,False,static_ftse_mib,candidate_from_screener,screener_results,PASS
14,AVGO,,,,WARN,,0.0,static_sp500_core_sample,2026-05-22T14:27:45+00:00,1,False,False,static_sp500_core_sample,candidate_from_screener,screener_results,PASS
15,AZM.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-22T14:27:45+00:00,1,False,False,static_ftse_mib,candidate_from_screener,screener_results,PASS
16,BAMI.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-22T14:27:45+00:00,1,False,False,static_ftse_mib,candidate_from_screener,screener_results,PASS
17,BMED.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-22T14:27:45+00:00,1,False,False,static_ftse_mib,candidate_from_screener,screener_results,PASS
18,BMPS.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-22T14:27:45+00:00,1,False,False,static_ftse_mib,candidate_from_screener,screener_results,PASS
19,BNP.PA,,France,,WARN,,0.0,static_euro_stoxx_50,2026-05-22T14:27:45+00:00,1,False,False,static_euro_stoxx_50,candidate_from_screener,screener_results,PASS
20,BPE.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-22T14:27:45+00:00,1,False,False,static_ftse_mib,candidate_from_screener,screener_results,PASS
21,BRK-B,,,,WARN,,0.0,static_sp500_core_sample,2026-05-22T14:27:45+00:00,1,False,False,static_sp500_core_sample,candidate_from_screener,screener_results,PASS
22,COST,,,,WARN,,0.0,static_sp500_core_sample,2026-05-22T14:27:45+00:00,1,False,False,static_sp500_core_sample,candidate_from_screener,screener_results,PASS
23,CPR.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-22T14:27:45+00:00,1,False,False,static_ftse_mib,candidate_from_screener,screener_results,PASS
24,CRM,,,,WARN,,0.0,static_sp500_core_sample,2026-05-22T14:27:45+00:00,1,False,False,static_sp500_core_sample,candidate_from_screener,screener_results,PASS
25,DG.PA,,France,,WARN,,0.0,static_euro_stoxx_50,2026-05-22T14:27:45+00:00,1,False,False,static_euro_stoxx_50,candidate_from_screener,screener_results,PASS
