screener_rank,ticker,company_name,country,fundamental_matched,robustness_status,scenario_downside,screener_score,universe_source,updated_at,source_count,is_etf,is_adr,index_membership
1,ENEL.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,2,False,False,static_ftse_mib
2,ENI.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,2,False,False,static_ftse_mib
3,ISP.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,2,False,False,static_ftse_mib
4,A2A.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
5,AAPL,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample
6,ABBV,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample
7,AI.PA,,France,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50
8,AIR.PA,,France,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50
9,ALV.DE,,Germany,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50
10,AMP.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
11,AMZN,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample
12,ASML.AS,,Netherlands,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50
13,ATL.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
14,AVGO,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample
15,AZM.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
16,BAMI.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
17,BMED.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
18,BMPS.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
19,BNP.PA,,France,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50
20,BPE.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
21,BRK-B,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample
22,COST,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample
23,CPR.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
24,CRM,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample
25,DG.PA,,France,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50
26,DIA.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
27,DTE.DE,,Germany,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50
28,EL.PA,,France,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50
29,ERG.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
30,FBK.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
31,G.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
32,GOOGL,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample
33,HD,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample
34,HER.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
35,IBE.MC,,Spain,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50
36,IG.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
37,INW.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
38,ITX.MC,,Spain,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50
39,IVG.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
40,JPM,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample
41,LDO.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
42,LLY,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample
43,MA,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample
44,MB.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
45,MC.PA,,France,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50
46,META,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample
47,MONC.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
48,MRK,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample
49,MSFT,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample
50,NEXI.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
51,NVDA,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample
52,OR.PA,,France,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50
53,PG,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample
54,PIRC.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
55,PRY.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
56,PST.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
57,RACE.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
58,REC.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
59,SAN.PA,,France,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50
60,SAP.DE,,Germany,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50
61,SIE.DE,,Germany,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50
62,SRG.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
63,STLAM.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
64,STM.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
65,SU.PA,,France,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50
66,TEN.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
67,TIT.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
68,TRN.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
69,TTE.PA,,France,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False,static_euro_stoxx_50
70,UCG.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
71,UNH,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample
72,UNI.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False,static_ftse_mib
73,V,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample
74,XOM,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False,static_sp500_core_sample
