group,field,type,operators,aliases
descriptive,ticker,text,"equals, in, contains, regex",symbol
descriptive,company_name,text,"contains, regex, equals","name, company, security, Security, companyname, company_name"
descriptive,country,category,"equals, in",
descriptive,region,category,"equals, in",
descriptive,exchange,category,"equals, in",
descriptive,sector,category,"equals, in, contains",
descriptive,industry,category,"equals, in, contains",
descriptive,index_membership,category,"equals, in, contains",
descriptive,market_cap,numeric,"gt, lt, between, top_pct","market_cap, marketcap, market_cap_est, marketcapest, mktcap"
descriptive,market_cap_bucket,category,"equals, in",
descriptive,price,numeric,"gt, lt, between","price, current_price, currentprice, adj_close, adjclose, close, last_price, lastprice"
descriptive,avg_volume,numeric,"gt, lt, between","avg_volume, avgvolume, average_volume, averagevolume, avg_volume_3m, volume"
descriptive,liquidity,numeric,"gt, lt, between","liquidity, dollar_volume, dollarvolume, avg_dollar_volume, avgdollarvolume"
descriptive,security_type,category,"equals, in",
descriptive,is_etf,boolean,"is_true, is_false",
descriptive,is_adr,boolean,"is_true, is_false",
fundamental,pe_ratio,numeric,"gt, lt, between, bottom_pct","pe_ratio, peratio, pe, trailingpe"
fundamental,forward_pe,numeric,"gt, lt, between, bottom_pct","forward_pe, forwardpe, forwardPE"
fundamental,pb_ratio,numeric,"gt, lt, between, bottom_pct","pb_ratio, pbratio, pb, pricebook"
fundamental,ev_ebitda,numeric,"gt, lt, between, bottom_pct","ev_ebitda, evebitda, evtoebitda"
fundamental,ev_sales,numeric,"gt, lt, between, bottom_pct","ev_sales, evsales, sales_multiple_proxy, salesmultipleproxy"
fundamental,roe,numeric,"gt, lt, between, top_pct","roe, return_on_equity, returnonequity"
fundamental,roa,numeric,"gt, lt, between, top_pct","roa, return_on_assets, returnonassets"
fundamental,gross_margin,numeric,"gt, lt, between","gross_margin, grossmargin"
fundamental,operating_margin,numeric,"gt, lt, between","operating_margin, operatingmargin"
fundamental,net_margin,numeric,"gt, lt, between","net_margin, netmargin"
fundamental,revenue_growth,numeric,"gt, lt, between","revenue_growth, revenuegrowth, sales_growth, salesgrowth"
fundamental,earnings_growth,numeric,"gt, lt, between","earnings_growth, earningsgrowth, eps_growth, epsgrowth, net_income_growth, netincomegrowth"
fundamental,debt_equity,numeric,"gt, lt, between","debt_equity, debtequity, debt_to_equity, debttoequity, total_debt_equity, totaldebtequity"
fundamental,current_ratio,numeric,"gt, lt, between","current_ratio, currentratio"
fundamental,dividend_yield,numeric,"gt, lt, between","dividend_yield, dividendyield"
fundamental,payout_ratio,numeric,"gt, lt, between","payout_ratio, payoutratio"
