screener_rank,ticker,screener_score,universe_source,updated_at,source_count,is_etf,is_adr
1,ENEL.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,2,False,False
2,ENI.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,2,False,False
3,ISP.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,2,False,False
4,A2A.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
5,AAPL,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False
6,ABBV,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False
7,AI.PA,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False
8,AIR.PA,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False
9,ALV.DE,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False
10,AMP.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
11,AMZN,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False
12,ASML.AS,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False
13,ATL.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
14,AVGO,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False
15,AZM.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
16,BAMI.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
17,BMED.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
18,BMPS.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
19,BNP.PA,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False
20,BPE.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
21,BRK-B,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False
22,COST,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False
23,CPR.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
24,CRM,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False
25,DG.PA,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False
26,DIA.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
27,DTE.DE,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False
28,EL.PA,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False
29,ERG.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
30,FBK.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
31,G.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
32,GOOGL,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False
33,HD,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False
34,HER.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
35,IBE.MC,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False
36,IG.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
37,INW.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
38,ITX.MC,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False
39,IVG.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
40,JPM,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False
41,LDO.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
42,LLY,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False
43,MA,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False
44,MB.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
45,MC.PA,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False
46,META,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False
47,MONC.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
48,MRK,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False
49,MSFT,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False
50,NEXI.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
51,NVDA,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False
52,OR.PA,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False
53,PG,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False
54,PIRC.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
55,PRY.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
56,PST.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
57,RACE.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
58,REC.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
59,SAN.PA,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False
60,SAP.DE,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False
61,SIE.DE,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False
62,SRG.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
63,STLAM.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
64,STM.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
65,SU.PA,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False
66,TEN.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
67,TIT.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
68,TRN.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
69,TTE.PA,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1,False,False
70,UCG.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
71,UNH,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False
72,UNI.MI,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1,False,False
73,V,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False
74,XOM,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1,False,False
