ticker,universe_source,updated_at,source_count
ENEL.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,2
ENI.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,2
ISP.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,2
A2A.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
AAPL,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1
ABBV,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1
AI.PA,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1
AIR.PA,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1
ALV.DE,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1
AMP.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
AMZN,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1
ASML.AS,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1
ATL.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
AVGO,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1
AZM.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
BAMI.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
BMED.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
BMPS.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
BNP.PA,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1
BPE.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
BRK-B,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1
COST,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1
CPR.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
CRM,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1
DG.PA,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1
DIA.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
DTE.DE,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1
EL.PA,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1
ERG.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
FBK.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
G.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
GOOGL,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1
HD,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1
HER.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
IBE.MC,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1
IG.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
INW.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
ITX.MC,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1
IVG.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
JPM,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1
LDO.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
LLY,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1
MA,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1
MB.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
MC.PA,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1
META,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1
MONC.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
MRK,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1
MSFT,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1
NEXI.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
NVDA,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1
OR.PA,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1
PG,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1
PIRC.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
PRY.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
PST.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
RACE.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
REC.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
SAN.PA,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1
SAP.DE,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1
SIE.DE,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1
SRG.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
STLAM.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
STM.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
SU.PA,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1
TEN.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
TIT.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
TRN.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
TTE.PA,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1
UCG.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
UNH,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1
UNI.MI,static_ftse_mib,2026-05-20T01:50:41+00:00,1
V,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1
XOM,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1
