relative_path,path,file,suffix,role,size_mb,modified_utc,age_hours,parent,exists
Finance Database/report.html,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Finance Database/report.html,report.html,.html,notebook_export,4.5675,2022-10-19T14:38:45+00:00,31489.76,Finance Database,True
Cripto_MinuteTimeSeries/zrxusd.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Cripto_MinuteTimeSeries/zrxusd.csv,zrxusd.csv,.csv,other,35.7488,2022-09-28T10:22:20+00:00,31998.04,Cripto_MinuteTimeSeries,True
Finance Database/archive/zrxusd.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Finance Database/archive/zrxusd.csv,zrxusd.csv,.csv,other,35.7488,2022-09-28T10:22:20+00:00,31998.04,Finance Database/archive,True
Cripto_MinuteTimeSeries/zrxbtc.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Cripto_MinuteTimeSeries/zrxbtc.csv,zrxbtc.csv,.csv,other,20.4548,2022-09-28T10:22:18+00:00,31998.04,Cripto_MinuteTimeSeries,True
Cripto_MinuteTimeSeries/zmtust.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Cripto_MinuteTimeSeries/zmtust.csv,zmtust.csv,.csv,other,0.7096,2022-09-28T10:22:18+00:00,31998.04,Cripto_MinuteTimeSeries,True
Cripto_MinuteTimeSeries/zrxeth.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Cripto_MinuteTimeSeries/zrxeth.csv,zrxeth.csv,.csv,other,17.2667,2022-09-28T10:22:18+00:00,31998.04,Cripto_MinuteTimeSeries,True
Finance Database/archive/zrxbtc.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Finance Database/archive/zrxbtc.csv,zrxbtc.csv,.csv,other,20.4548,2022-09-28T10:22:18+00:00,31998.04,Finance Database/archive,True
Finance Database/archive/zmtust.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Finance Database/archive/zmtust.csv,zmtust.csv,.csv,other,0.7096,2022-09-28T10:22:18+00:00,31998.04,Finance Database/archive,True
Finance Database/archive/zrxeth.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Finance Database/archive/zrxeth.csv,zrxeth.csv,.csv,other,17.2667,2022-09-28T10:22:18+00:00,31998.04,Finance Database/archive,True
Cripto_MinuteTimeSeries/zilusd.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Cripto_MinuteTimeSeries/zilusd.csv,zilusd.csv,.csv,other,4.5246,2022-09-28T10:22:16+00:00,31998.04,Cripto_MinuteTimeSeries,True
Cripto_MinuteTimeSeries/zmtusd.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Cripto_MinuteTimeSeries/zmtusd.csv,zmtusd.csv,.csv,other,7.0821,2022-09-28T10:22:16+00:00,31998.04,Cripto_MinuteTimeSeries,True
Cripto_MinuteTimeSeries/zilbtc.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Cripto_MinuteTimeSeries/zilbtc.csv,zilbtc.csv,.csv,other,0.5909,2022-09-28T10:22:16+00:00,31998.04,Cripto_MinuteTimeSeries,True
Finance Database/archive/zilusd.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Finance Database/archive/zilusd.csv,zilusd.csv,.csv,other,4.5246,2022-09-28T10:22:16+00:00,31998.04,Finance Database/archive,True
Finance Database/archive/zmtusd.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Finance Database/archive/zmtusd.csv,zmtusd.csv,.csv,other,7.0821,2022-09-28T10:22:16+00:00,31998.04,Finance Database/archive,True
Finance Database/archive/zilbtc.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Finance Database/archive/zilbtc.csv,zilbtc.csv,.csv,other,0.5909,2022-09-28T10:22:16+00:00,31998.04,Finance Database/archive,True
Cripto_MinuteTimeSeries/zbtusd.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Cripto_MinuteTimeSeries/zbtusd.csv,zbtusd.csv,.csv,other,5.6957,2022-09-28T10:22:06+00:00,31998.04,Cripto_MinuteTimeSeries,True
Cripto_MinuteTimeSeries/zcnusd.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Cripto_MinuteTimeSeries/zcnusd.csv,zcnusd.csv,.csv,other,9.7762,2022-09-28T10:22:06+00:00,31998.04,Cripto_MinuteTimeSeries,True
Cripto_MinuteTimeSeries/yggusd.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Cripto_MinuteTimeSeries/yggusd.csv,yggusd.csv,.csv,other,6.0259,2022-09-28T10:22:06+00:00,31998.04,Cripto_MinuteTimeSeries,True
Cripto_MinuteTimeSeries/yywusd.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Cripto_MinuteTimeSeries/yywusd.csv,yywusd.csv,.csv,other,7.7471,2022-09-28T10:22:06+00:00,31998.04,Cripto_MinuteTimeSeries,True
Finance Database/archive/zbtusd.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Finance Database/archive/zbtusd.csv,zbtusd.csv,.csv,other,5.6957,2022-09-28T10:22:06+00:00,31998.04,Finance Database/archive,True
Finance Database/archive/zcnusd.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Finance Database/archive/zcnusd.csv,zcnusd.csv,.csv,other,9.7762,2022-09-28T10:22:06+00:00,31998.04,Finance Database/archive,True
Finance Database/archive/yggusd.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Finance Database/archive/yggusd.csv,yggusd.csv,.csv,other,6.0259,2022-09-28T10:22:06+00:00,31998.04,Finance Database/archive,True
Finance Database/archive/yywusd.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Finance Database/archive/yywusd.csv,yywusd.csv,.csv,other,7.7471,2022-09-28T10:22:06+00:00,31998.04,Finance Database/archive,True
Cripto_MinuteTimeSeries/yfiust.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Cripto_MinuteTimeSeries/yfiust.csv,yfiust.csv,.csv,other,18.3313,2022-09-28T10:22:04+00:00,31998.04,Cripto_MinuteTimeSeries,True
Finance Database/archive/yfiust.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Finance Database/archive/yfiust.csv,yfiust.csv,.csv,other,18.3313,2022-09-28T10:22:04+00:00,31998.04,Finance Database/archive,True
Cripto_MinuteTimeSeries/xvgusd.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Cripto_MinuteTimeSeries/xvgusd.csv,xvgusd.csv,.csv,other,18.5242,2022-09-28T10:22:02+00:00,31998.04,Cripto_MinuteTimeSeries,True
Cripto_MinuteTimeSeries/yfiusd.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Cripto_MinuteTimeSeries/yfiusd.csv,yfiusd.csv,.csv,other,23.6834,2022-09-28T10:22:02+00:00,31998.04,Cripto_MinuteTimeSeries,True
Finance Database/archive/xvgusd.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Finance Database/archive/xvgusd.csv,xvgusd.csv,.csv,other,18.5242,2022-09-28T10:22:02+00:00,31998.04,Finance Database/archive,True
Finance Database/archive/yfiusd.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Finance Database/archive/yfiusd.csv,yfiusd.csv,.csv,other,23.6834,2022-09-28T10:22:02+00:00,31998.04,Finance Database/archive,True
Cripto_MinuteTimeSeries/xtzust.csv,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Cripto_MinuteTimeSeries/xtzust.csv,xtzust.csv,.csv,other,9.4709,2022-09-28T10:22:00+00:00,31998.04,Cripto_MinuteTimeSeries,True
