domain,dataset,label,provider,frequency,start_date_target,target_path,exists,priority,expected_items
equity_universe,sp500,S&P 500,wikipedia,daily_prices_quarterly_fundamentals,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Equities/US/sp500/constituents_current.csv,False,1,503
equity_universe,nasdaq100,Nasdaq 100,wikipedia,daily_prices_quarterly_fundamentals,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Equities/US/nasdaq100/constituents_current.csv,False,2,101
equity_universe,russell2000,Russell 2000,iShares ETF proxy,daily_prices_quarterly_fundamentals,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Equities/US/russell2000/constituents_current.csv,False,3,2000
equity_universe,eurostoxx50,Euro Stoxx 50,local/yfinance,daily_prices_quarterly_fundamentals,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Equities/Europe/eurostoxx50/constituents_current.csv,False,1,50
equity_universe,ftse100,FTSE 100,wikipedia,daily_prices_quarterly_fundamentals,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Equities/Europe/ftse100/constituents_current.csv,False,2,100
equity_universe,dax40,DAX 40,wikipedia,daily_prices_quarterly_fundamentals,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Equities/Europe/dax40/constituents_current.csv,False,2,40
equity_universe,cac40,CAC 40,wikipedia,daily_prices_quarterly_fundamentals,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Equities/Europe/cac40/constituents_current.csv,False,3,40
equity_universe,ibex35,IBEX 35,wikipedia,daily_prices_quarterly_fundamentals,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Equities/Europe/ibex35/constituents_current.csv,False,3,35
equity_universe,ftsemib,FTSE MIB,wikipedia,daily_prices_quarterly_fundamentals,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Equities/Europe/ftsemib/constituents_current.csv,False,1,40
equity_universe,nikkei225,Nikkei 225,nikkei/wikipedia,daily_prices_quarterly_fundamentals,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Equities/Asia/nikkei225/constituents_current.csv,False,3,225
equity_universe,csi300,CSI 300,ETF/proxy + best effort,daily_prices_quarterly_fundamentals,2005-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Equities/Asia/csi300/constituents_current.csv,False,4,300
equity_universe,hangseng,Hang Seng,wikipedia,daily_prices_quarterly_fundamentals,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Equities/Asia/hangseng/constituents_current.csv,False,4,80
equity_universe,kospi,KOSPI,ETF/proxy + best effort,daily_prices_quarterly_fundamentals,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Equities/Asia/kospi/constituents_current.csv,False,4,200
equity_universe,msci_em_top100,MSCI Emerging Markets Top 100,ETF/proxy + best effort,daily_prices_quarterly_fundamentals,2000-01-01,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Equities/Emerging/msci_em_top100/constituents_current.csv,False,4,100
factor_data,FF3_monthly,FF3 monthly,fama_french,monthly,source_history,/Users/itsgennymac/Library/CloudStorage/GoogleDrive-sfn.gns@gmail.com/Il mio Drive/Database Finanziario/Factors/FamaFrench/FF3_monthly.csv,True,2,
