domain,dataset,label,provider,frequency,start_date_target,target_path,exists,priority,expected_items
official_macro,hicp_euro_area_yoy,"Euro area HICP overall index, annual rate of change",ecb,monthly,source_history,/var/folders/lc/bskvxbb93zs20ztn0vgyqs9c0000gn/T/tmp.9HDDO62PmB/db/OfficialMacro/ECB/hicp_euro_area_yoy.csv,False,1,ICP/M.U2.N.000000.4.ANR
official_macro,policy_rate_mro,ECB main refinancing operations fixed rate,ecb,daily,source_history,/var/folders/lc/bskvxbb93zs20ztn0vgyqs9c0000gn/T/tmp.9HDDO62PmB/db/OfficialMacro/ECB/policy_rate_mro.csv,False,1,FM/D.U2.EUR.4F.KR.MRR_FR.LEV
official_macro,policy_rate_deposit,ECB deposit facility rate,ecb,daily,source_history,/var/folders/lc/bskvxbb93zs20ztn0vgyqs9c0000gn/T/tmp.9HDDO62PmB/db/OfficialMacro/ECB/policy_rate_deposit.csv,False,1,FM/D.U2.EUR.4F.KR.DFR.LEV
official_macro,policy_rate_marginal_lending,ECB marginal lending facility rate,ecb,daily,source_history,/var/folders/lc/bskvxbb93zs20ztn0vgyqs9c0000gn/T/tmp.9HDDO62PmB/db/OfficialMacro/ECB/policy_rate_marginal_lending.csv,False,1,FM/D.U2.EUR.4F.KR.MLFR.LEV
official_macro,m2_notional_stock_index,"Euro area M2, MFI BSI index of notional stocks",ecb,monthly,source_history,/var/folders/lc/bskvxbb93zs20ztn0vgyqs9c0000gn/T/tmp.9HDDO62PmB/db/OfficialMacro/ECB/m2_notional_stock_index.csv,False,2,BSI/M.U2.Y.V.M20.X.I.U2.2300.Z01.E
official_macro,m3_notional_stock_index,"Euro area M3, MFI BSI index of notional stocks",ecb,monthly,source_history,/var/folders/lc/bskvxbb93zs20ztn0vgyqs9c0000gn/T/tmp.9HDDO62PmB/db/OfficialMacro/ECB/m3_notional_stock_index.csv,False,2,BSI/M.U2.Y.V.M30.X.I.U2.2300.Z01.E
official_macro,credit_growth,"Principali aggregati monetari e creditizi, variazioni percentuali sui 12 mesi",bancaditalia,monthly,source_history,/var/folders/lc/bskvxbb93zs20ztn0vgyqs9c0000gn/T/tmp.9HDDO62PmB/db/OfficialMacro/BancaItalia/credit_growth.csv,False,1,CUBE/AGGM0500
official_macro,credit_counterparts,"Contropartite italiane della moneta dell'area dell'euro, consistenze",bancaditalia,monthly,source_history,/var/folders/lc/bskvxbb93zs20ztn0vgyqs9c0000gn/T/tmp.9HDDO62PmB/db/OfficialMacro/BancaItalia/credit_counterparts.csv,False,1,CUBE/AGGM0300
official_macro,deposit_rates,"Tassi sui depositi in euro di famiglie e societa non finanziarie, nuove operazioni",bancaditalia,monthly,source_history,/var/folders/lc/bskvxbb93zs20ztn0vgyqs9c0000gn/T/tmp.9HDDO62PmB/db/OfficialMacro/BancaItalia/deposit_rates.csv,False,2,CUBE/MIR0700
official_macro,deposit_volumes,"Volumi sui depositi in euro di famiglie e societa non finanziarie, nuove operazioni",bancaditalia,monthly,source_history,/var/folders/lc/bskvxbb93zs20ztn0vgyqs9c0000gn/T/tmp.9HDDO62PmB/db/OfficialMacro/BancaItalia/deposit_volumes.csv,False,2,CUBE/MIR0900
official_macro,official_rates_bdi,Tassi d'interesse ufficiali dell'Eurosistema,bancaditalia,event,source_history,/var/folders/lc/bskvxbb93zs20ztn0vgyqs9c0000gn/T/tmp.9HDDO62PmB/db/OfficialMacro/BancaItalia/official_rates_bdi.csv,False,2,CUBE/TUFF0100
official_macro,public_debt,"Finanza pubblica: fabbisogno e debito, tavola principale",bancaditalia,monthly,source_history,/var/folders/lc/bskvxbb93zs20ztn0vgyqs9c0000gn/T/tmp.9HDDO62PmB/db/OfficialMacro/BancaItalia/public_debt.csv,False,1,CUBE/TCCE0100
