screener_rank,ticker,company_name,country,fundamental_matched,robustness_status,scenario_downside,screener_score,universe_source,updated_at,source_count,is_etf,is_adr,index_membership,source_artifact,date,market_value,market_value_proxy_source,model,status,reason,selection_rank,sector,weight,engine_weight,rank,composite_score,annual_return,selection_score,quality_flag,portfolio,prediction,actual,N,prediction_rank,selected_topk,source,log_market_value,target_source,forward_return,fair_value_hat,mispricing_rel,zscore,percentile_rank,signal,score
50.0,NEXI.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1.0,False,False,static_ftse_mib,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,,3.3528394279676927,,,,,
51.0,NVDA,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1.0,False,False,static_sp500_core_sample,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,,3.340329709670378,,,,,
52.0,OR.PA,,France,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1.0,False,False,static_euro_stoxx_50,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,,3.3278199913730635,,,,,
53.0,PG,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1.0,False,False,static_sp500_core_sample,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,,3.315310273075748,,,,,
54.0,PIRC.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1.0,False,False,static_ftse_mib,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,,3.3028005547784334,,,,,
55.0,PRY.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1.0,False,False,static_ftse_mib,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,,3.290290836481118,,,,,
56.0,PST.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1.0,False,False,static_ftse_mib,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,,3.2777811181838032,,,,,
57.0,RACE.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1.0,False,False,static_ftse_mib,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,,3.2652713998864886,,,,,
58.0,REC.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1.0,False,False,static_ftse_mib,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,,3.5217206249814454,,,,,
59.0,SAN.PA,,France,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1.0,False,False,static_euro_stoxx_50,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,,3.252761681589173,,,,,
