screener_rank,ticker,company_name,country,fundamental_matched,robustness_status,scenario_downside,screener_score,universe_source,updated_at,source_count,is_etf,is_adr,index_membership,source_artifact,date,market_value,market_value_proxy_source,model,status,reason,selection_rank,sector,weight,engine_weight,rank,composite_score,annual_return,selection_score,quality_flag,portfolio,prediction,actual,N,prediction_rank,selected_topk,source,log_market_value,target_source,forward_return
4.0,A2A.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1.0,False,False,static_ftse_mib,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,
5.0,AAPL,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1.0,False,False,static_sp500_core_sample,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,
6.0,ABBV,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1.0,False,False,static_sp500_core_sample,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,
7.0,AI.PA,,France,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1.0,False,False,static_euro_stoxx_50,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,
8.0,AIR.PA,,France,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1.0,False,False,static_euro_stoxx_50,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,
9.0,ALV.DE,,Germany,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1.0,False,False,static_euro_stoxx_50,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,
10.0,AMP.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1.0,False,False,static_ftse_mib,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,
11.0,AMZN,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1.0,False,False,static_sp500_core_sample,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,
12.0,ASML.AS,,Netherlands,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1.0,False,False,static_euro_stoxx_50,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,
13.0,ATL.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1.0,False,False,static_ftse_mib,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,
