screener_rank,ticker,company_name,country,fundamental_matched,robustness_status,scenario_downside,screener_score,universe_source,updated_at,source_count,is_etf,is_adr,index_membership,source_artifact,date,market_value,market_value_proxy_source,model,status,reason,selection_rank,sector,weight,engine_weight,rank,composite_score,annual_return,selection_score,quality_flag,portfolio,prediction,actual,N,prediction_rank,selected_topk,source,log_market_value,target_source,forward_return,fair_value_hat,mispricing_rel,zscore,percentile_rank,signal,score
,RETAIL_MORTGAGES,Retail_Mortgages,,,,,,,2026-05-21T15:32:24+00:00,,,,,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/portfolio_analysis/output/tables/PortfolioSelectionResults.csv,2024-03-31,252.2316,actual,elastic_net,,,1.0,Portfolio Sleeve,1.0,,,336.9133,252.2316,336.9133,PASS,Retail_Mortgages,336.9133,252.2316,4.0,1.0,True,workspace_backtest_topk,5.530347713064787,actual,,3.9407961879414968,-0.9843762788328604,,,,
4.0,A2A.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1.0,False,False,static_ftse_mib,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,,3.928286469644182,,,,,
5.0,AAPL,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1.0,False,False,static_sp500_core_sample,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,,3.9157767513468666,,,,,
6.0,ABBV,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1.0,False,False,static_sp500_core_sample,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,,3.903267033049552,,,,,
7.0,AI.PA,,France,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1.0,False,False,static_euro_stoxx_50,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,,3.8907573147522365,,,,,
8.0,AIR.PA,,France,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1.0,False,False,static_euro_stoxx_50,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,,3.878247596454922,,,,,
9.0,ALV.DE,,Germany,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1.0,False,False,static_euro_stoxx_50,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,,3.8657378781576073,,,,,
10.0,AMP.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1.0,False,False,static_ftse_mib,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,,3.8532281598602918,,,,,
11.0,AMZN,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1.0,False,False,static_sp500_core_sample,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,,3.840718441562977,,,,,
12.0,ASML.AS,,Netherlands,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1.0,False,False,static_euro_stoxx_50,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,,3.8282087232656616,,,,,
