path,cells,markdown_cells,code_cells,has_standard_headers,header_count,plotly_hits,widget_hits,source_hits,export_hits,model_hits,fallback_hits,score,status,recommendations
company_valuation/notebooks/Company_Valuatio.ipynb,55,17,38,True,15,28,62,75,68,99,118,100,gold,meets professional standard
00_notebooks_final/01_stock_screening_professional.ipynb,31,15,16,True,15,5,3,29,22,33,13,89,gold,meets professional standard
00_notebooks_final/02_portfolio_risk_bridgewater.ipynb,31,15,16,True,15,5,3,29,22,33,13,89,gold,meets professional standard
00_notebooks_final/03_pre_earnings_jpm.ipynb,31,15,16,True,15,5,3,29,22,33,13,89,gold,meets professional standard
00_notebooks_final/04_portfolio_builder_blackrock.ipynb,31,15,16,True,15,5,3,29,22,33,13,89,gold,meets professional standard
00_notebooks_final/05_technical_analysis_citadel.ipynb,31,15,16,True,15,5,3,29,22,33,13,89,gold,meets professional standard
00_notebooks_final/06_competitive_analysis_bain.ipynb,31,15,16,True,15,5,3,29,22,33,13,89,gold,meets professional standard
00_notebooks_final/07_quant_research_renaissance.ipynb,31,15,16,True,15,5,3,29,22,33,13,89,gold,meets professional standard
00_notebooks_final/08_macro_strategy_mckinsey.ipynb,31,15,16,True,15,5,3,29,22,33,13,89,gold,meets professional standard
portfolio_analysis/notebooks/SWS_Portfolio_Analysis_Model.ipynb,33,16,17,True,15,15,1,15,24,8,22,86,gold,meets professional standard
02_market_and_fundamental_data/00_market_fundamental_data_definitive.ipynb,33,17,16,True,15,0,9,15,24,90,34,85,gold,add at least two Plotly charts
02_market_and_fundamental_data/03_data_providers/03_integrated_api_provider_registry_definitive.ipynb,33,17,16,True,15,0,9,15,24,90,34,85,gold,add at least two Plotly charts
03_alternative_data/00_alternative_data_definitive.ipynb,33,17,16,True,15,0,9,15,24,90,34,85,gold,add at least two Plotly charts
Papers/Paper 1 su TTC Clean Expected Loss (TCEL).ipynb,33,17,16,True,15,0,7,20,26,64,83,85,gold,add at least two Plotly charts
pead_european_banks_ifrs9/notebooks/PEAD_EuropeanBanks_IFRS9_FullExperiment.ipynb,33,16,17,True,15,5,1,46,28,81,61,83,silver,meets professional standard
01_machine_learning_for_trading/00_machine_learning_for_trading_definitive.ipynb,33,17,16,True,15,0,2,12,22,39,34,76,silver,add at least two Plotly charts
04_alpha_factor_research/00_alpha_factor_research_definitive.ipynb,33,17,16,True,15,0,2,12,22,39,34,76,silver,add at least two Plotly charts
05_strategy_evaluation/00_strategy_evaluation_definitive.ipynb,33,17,16,True,15,0,2,12,22,39,34,76,silver,add at least two Plotly charts
06_machine_learning_process/00_machine_learning_process_definitive.ipynb,33,17,16,True,15,0,2,12,22,39,34,76,silver,add at least two Plotly charts
07_linear_models/00_linear_models_definitive.ipynb,33,17,16,True,15,0,2,12,22,39,34,76,silver,add at least two Plotly charts
08_ml4t_workflow/00_ml4t_workflow_definitive.ipynb,33,17,16,True,15,0,2,12,22,39,34,76,silver,add at least two Plotly charts
09_time_series_models/00_time_series_models_definitive.ipynb,33,17,16,True,15,0,2,12,22,39,34,76,silver,add at least two Plotly charts
10_bayesian_machine_learning/00_bayesian_machine_learning_definitive.ipynb,33,17,16,True,15,0,2,12,22,39,34,76,silver,add at least two Plotly charts
